InteractorA,InteractorB,Label
Q9Y2V7,Q8IY63,1
Q92900,Q14152,1
Q03468,Q06587,0
P38606,P34897,1
Q9HB71,Q92925,1
Q8IV36,P68400,0
Q9BST9,P54252,0
P61026,P51948,0
Q14781,P21860,0
O15016,Q8N122,1
Q6PGQ7,O94805,0
P40925,O95072,0
Q9H270,P07108,0
O75582,O00499,1
Q9Y577,P08559,0
Q96MY7,Q2TAA8,1
Q53HL2,P17948,0
P18206,Q99961,1
O75344,Q14203,0
Q93034,Q92900,1
Q9Y572,Q6WCQ1,1
Q6PKG0,P40763,0
Q9Y2T3,O95858,0
Q9H0X6,O95544,0
P35914,P20674,0
Q96DX7,Q9BQG0,1
Q9H6L4,O75533,1
P50402,Q86UP2,1
Q9NRC1,O95544,0
Q9P1A2,Q13613,1
Q8IZE3,Q6PKG0,0
O43390,Q13596,0
P46937,Q9Y297,1
P28066,Q9UBT2,1
Q9GZT6,O00217,1
O15062,O60443,0
P61964,P50570,1
Q96PM5,Q9H5K3,0
P50897,Q9NVK5,0
Q8IYP9,Q86YT6,1
P59223,Q9SRX2,1
P29762,O14530,0
P25788,Q8TF21,0
Q13618,P62318,1
Q8WV28,Q8TC44,0
P39687,Q13352,0
O43752,Q9BRK4,1
Q6ZNL6,O00212,0
Q969G6,Q8TBK6,0
O75558,P05305,0
Q12846,Q8TEW0,1
Q9BT92,Q92466,0
Q8WWM7,O00257,1
Q86TG7,Q96PK6,1
Q1EC66,Q9LSE2,1
Q86UY6,Q5JTH9,1
Q9M0V3,Q8LGH4,1
Q15393,Q9NR31,0
P14678,Q15291,0
P13569,O00231,1
Q5XEM9,Q9FKW0,1
Q9Y5X3,Q9P0W2,0
P06753,Q9H9B1,0
Q9C7D7,Q9SXB8,1
Q96DR7,Q9BYZ6,0
P12236,Q8N2I9,0
P68366,P50402,0
Q9C670,Q38897,1
Q9UKY1,Q49AJ0,0
O95155,O95816,0
O43283,O14920,1
O00422,P17152,0
A1L390,O75486,0
O43809,Q86Y33,0
O15294,Q92769,0
Q9FJX2,P17094,1
P45432,Q8W575,1
O04379,Q1EC66,1
Q8IUH3,P62314,1
O15169,Q9H1D9,0
Q14258,P18074,1
P50502,Q01130,1
P54609,O23708,1
Q9FL28,Q9C5S9,1
Q9BRX5,Q14566,1
Q9BV40,Q9HC16,0
P08758,P20962,0
Q9H074,Q9Y2X7,0
P28072,Q14203,1
Q9M2Z4,Q8GXM8,1
P62316,P00390,0
O94826,Q9NZQ3,0
Q03933,Q9NYB9,0
P09874,Q13007,1
P30281,Q53HC5,0
Q86UY6,Q9UKN8,1
O43504,Q9UNF1,0
Q9FIB6,Q9SZD4,1
Q42340,Q9SZD4,1
P11597,Q9NQC3,0
P20962,P06753,1
P38606,P58546,1
Q96524,Q9SYX2,1
Q8TEX9,P55072,1
Q13526,Q9BTW9,0
Q38796,Q9C5G0,1
P78362,Q86VM9,1
P55209,P62913,1
Q8LPR5,Q66GR3,1
P04629,O60610,1
P55209,P46778,0
Q14511,P42336,1
Q96KP6,P28331,1
P57752,Q9C7S5,1
Q14566,P46778,0
Q99759,Q15029,0
P68871,Q7Z5N2,0
P19525,P51149,0
P11142,Q92990,0
P04629,Q9Y6A5,1
P04629,Q96MT8,0
Q9M352,Q93VT9,1
Q00613,Q9GZP4,0
Q39021,Q9M2K8,1
A1YKT1,Q9SJN0,1
Q39021,P92973,1
P62851,P09669,0
Q5XPI4,Q01970,1
Q6IBL2,Q9BXP5,0
P19367,Q13547,0
Q53GS7,Q99614,1
Q9HCE1,Q92925,0
Q9BXR0,Q9BYD3,0
P78362,O15226,1
O22781,O64722,1
Q13501,Q9H3H3,0
Q9Y4W6,Q75KN0,0
Q9UEU0,O14744,0
O60763,P53803,0
Q96AX1,P53992,1
Q8IY31,Q8TD31,1
O14862,Q9Y3A2,0
Q9UNZ2,O60493,1
Q66GS9,P61758,0
Q8L9J7,Q9SMM5,1
Q8IUW3,Q9UM54,0
Q676U5,O00231,0
P30050,Q9H1D9,0
Q9NVR5,P61764,1
Q96TC7,Q92466,0
Q9UKE5,P61758,0
P07602,Q9NWB7,0
P49206,Q9M8X9,1
Q86UY6,O75665,0
Q7Z478,Q12800,0
Q4ZIN3,P62158,0
C0LGQ9,Q8W4S5,1
O43347,P04792,0
Q99436,P55769,0
Q969R8,Q99685,0
Q15631,Q92734,1
Q9FNX5,Q1EC66,1
Q7Z7L1,P35251,1
P04629,Q9NQU5,0
Q9H213,P51784,0
P60033,Q14152,1
Q9UJW0,O75530,0
Q9NS91,P62995,1
Q9H967,Q9NPF4,0
Q96DV4,P18124,0
Q9UPT6,Q13951,0
Q9NVX0,Q9Y2I8,0
P46934,Q9UKE5,1
Q9UER7,Q86XL3,0
P62306,Q8NBJ4,0
Q9M0S4,Q9SCY5,1
Q9M1Z5,Q9S7U9,1
Q9HA47,Q14687,0
P10721,Q8NE71,0
Q96E11,Q99615,0
P43254,Q940G0,1
Q39026,B3H5A8,1
P46248,P55852,1
Q9C5G0,Q9SJZ6,1
Q94CG2,Q9ASS4,1
O24606,Q9FML2,1
P46937,Q9UNM6,1
P05129,Q96KS9,1
Q9SFE9,Q941L0,1
Q676U5,Q9BVG8,0
Q9SZG0,Q945F0,1
Q37001,Q01525,1
O76071,Q9BX63,1
P30408,Q02978,0
Q9UKR5,O15525,0
Q9Y2W6,Q6WKZ4,0
Q9H0E2,Q96AX1,1
Q96S79,P46199,1
Q38798,Q9C7S5,1
P61289,Q68CZ2,0
Q15637,Q8TB24,0
Q99962,Q13885,0
O96017,Q9NQW6,0
Q9M9W1,Q8LD46,1
Q84MB2,Q84TD8,1
Q8LE42,Q9LQ02,1
P49677,Q38832,1
Q12852,Q9NTM9,0
Q96CV9,Q9H074,1
P01023,Q8IZ52,0
P62701,Q99832,0
Q8N7W2,P09874,0
Q9FME3,Q93VJ4,1
P63162,Q9Y2V2,0
Q03393,Q49AJ0,0
Q9NWH9,Q969H0,0
P13569,Q9UBC1,0
Q9GZY8,Q9Y5X1,0
P93431,Q0DJ33,1
P17931,O00330,1
Q9C0E8,P61964,0
P51690,Q9NR50,0
Q8IYP9,Q92900,1
Q9M337,Q08682,1
Q14232,Q9NXK8,0
Q8TAS1,A7MCY6,0
O14757,Q9UK73,1
P13569,P55010,1
Q9NY33,Q9UGL9,0
Q9NWF9-3,P53041,0
O04351,P48002,1
P54105,O76094,0
Q13415,P45973,1
Q8L4A7,O24616,1
Q8RWF0,Q9SSB4,1
P23246,O43374,0
Q14244,Q92973,1
Q9NWQ9,Q9UBW8,0
Q13972,Q16288,1
P06576,Q86V81,0
P78362,Q9NW13,1
Q15102,O95989,0
Q9FNP8,Q9ZUT9,1
P49419,Q6IAM7,0
P46937,P53621,1
P20290,Q9NRI5,0
Q12962,O14530,0
Q7Z569,Q96EK5,0
P52732,Q6P2E9,1
Q9BVP2,Q9Y6I3,0
Q67XJ2,Q9FGP6,1
P34897,Q92974,0
Q9BVJ6,Q9HBT7,0
P03950,Q92598,0
Q9LTM2,Q9S7M9,1
P60468,O60518,1
O14976,Q00653,0
O43683,Q6P1K2,1
Q9ASS4,Q9XIC7,1
P35475,Q9Y343,0
P48664,Q13951,0
O43502,O75771,1
Q14258,O00267,1
P62995,Q93045,0
Q15486,P60953,0
Q38998,Q38998,1
Q9BYF1,Q13617,0
Q8NHH9,Q86XK2,0
Q570C0,Q570C0,1
Q9H213,P69905,0
O23487,Q9C9E3,1
Q5BJF6,P49790,0
Q15121,P15882,0
P05091,Q96AC6,0
Q9SS17,Q9SZD4,1
Q9BRS2,Q15645,1
Q9LYK9,P51430,1
Q99816,Q9NR31,0
P06576,Q8N6T7,0
O00408,P49821,1
P28288,Q9BYV6,0
P61006,Q15583,0
P25788,Q13200,1
Q07666,Q96EP1,0
Q9UPN9,Q9NUW8,1
Q9NRH1,Q9Y285,0
O49318,C0LGT1,1
O95661,Q8NG50,0
O65569,Q42064,1
P21860,P60033,0
Q92734,Q14695,0
Q6P1R3,Q9GZN7,0
Q96GM8,P63104,0
Q9H967,Q16666,0
O14907,Q9BWU1,0
Q9H8U3,Q14061,0
Q8VZ87,Q8LEU3,1
Q9C835,Q07488,1
O15155,O14964,1
P56945,P06753,1
Q3SXY8,Q8WWP7,1
O00257,P13798,0
Q39022,Q9LZV6,1
Q96B97,P52732,0
Q9C8D1,Q9C8D1,1
O43570,Q9UM11,0
O43663,Q15287,1
Q16543,Q00987,0
P56945,Q14247,1
Q03393,P22234,0
Q9H063,P49641,0
Q9NPI5,P26885,0
O75689,P52565,0
Q01844,O95336,1
Q9H3U1,Q8N465,0
P59665,Q16637,0
Q5VWQ8,Q5JTZ9,0
P55327,Q16543,0
Q09028,Q99569,0
Q02241,Q12849,0
O00322,Q96G97,1
Q9Y2U9,Q8WXF1,0
O95873,Q8IXK0,0
Q8IUD2,P50402,0
Q9HB19,Q9NS91,1
O15355,P33240,0
P20963,Q9HD26,1
Q5T0T0,O15155,0
Q99471,Q96RP9,1
O94953,P60900,0
O65674,Q9ZUB8,1
Q9BRX5,Q8WU20,0
Q9BVP2,Q8IVW4,0
Q9SRQ8,P93007,1
Q9NS87,P51955,0
Q9LND0,Q84JG2,1
P21860,Q9Y3D9,1
Q93052,P14091,0
P36543,P36776,1
Q86V81,Q8N983,1
P30187,Q9M8T0,1
Q9SCX3,A8R7E6,1
O14880,P32942,0
Q6FI97,P01033,0
B1AK53,Q9UQB8,1
Q86VQ0,Q9Y2D8,1
Q9LVU1,Q0WQ63,1
Q7Z434,Q9HAD4,1
Q7Z2W7,Q86VM9,1
P05386,Q15012,0
Q8L4A7,Q94BQ2,1
Q8LAS8,Q1EC66,1
P30084,Q9Y383,0
P56945,Q9UK45,0
Q9HA65,Q9UQB8,0
P13639,O94842,0
O04378,Q9FF55,1
O15530,P09012,0
Q8WYQ5,Q7Z2W4,1
O15169,P48304,0
Q9FIP9,Q9FIP9,1
C0LGT6,Q9LPT1,1
P08559,Q6ZRI6,0
P35251,Q13620,0
Q92769,O96019,1
Q9BZV1,O95232,0
Q16531,P78417,0
Q9Y5U2,O14777,0
Q9FWS9,Q38897,1
Q08379,Q93034,1
Q9UI14,Q9H6R6,0
Q39163,Q93ZE2,1
Q9C7D7,C0LGK4,1
P55010,Q9H6I2,0
Q92870,Q155Q3,0
Q96EK5,Q9BZE1,0
Q9HD33,P49406,1
Q9NRI5,P56537,0
Q9Y2S2,P50897,0
Q8VYT3,Q6R2K3,1
P10124,P62873,0
Q6PJI9,Q9NXC5,1
O00762,P50453,0
P13196,P43246,0
P30408,Q8NE71,0
O00203,P60468,0
Q13469,P62258,1
Q9SL67,Q9SIV2,1
O14576,P25788,0
P13569,P23246,1
Q9UNN8,P63146,0
Q9Y4G2,Q9ULW0,1
P61218,Q9H6T3,1
P57075,Q96PK6,0
O64647,O22781,1
Q8WXK3,P22234,0
Q86XS8,Q15843,0
O00267,Q14687,1
Q9UH99,O95817,0
Q9UPT6,O60341,0
Q9UNP9,Q96DI7,1
P27900,Q8W2F1,1
Q16543,P13639,1
P49368,O60512,0
Q9HB71,Q9UNE7,1
P56945,Q969X5,1
Q9H204,Q9UHX1,1
P13693,Q9BZZ5,1
Q96KS0,Q969H8,0
P14373,Q86VP1,0
Q13617,P09496,0
P49137,P27816,0
Q9ZSY8,Q8H174,1
Q9NQW6,Q9BQG0,1
Q02410,P49757,0
Q9H910,P80098,0
P51991,Q14137,0
Q8IYB1,O43609,1
Q9H2J7,Q8N960,0
Q9M1X5,Q94C27,1
Q9Y2S7,P09211,0
Q13501,Q9NRI5,0
Q9Y3M9,O60671,0
Q13469,Q14527,1
P30086,Q8IVM0,0
Q9SYP2,P48347,1
P23246,P62191,0
P51617,Q13616,1
P56556,O14798,0
A5PKW4,Q9NWR8,0
Q86UP0,P20042,0
P29511,Q93YQ1,1
O95235,O14974,1
Q96T52,Q9UHW5,1
Q13618,Q9NNW5,1
Q9NZJ0,Q16659,0
Q9LMX5,P49597,1
Q9Y4W6,Q9UIM3,0
Q00613,Q96MT8,1
Q4G0J3,P62310,1
Q6UB35,Q9Y575,0
Q14155,Q13191,1
P49959,Q13387,1
Q7L5D6,Q13724,0
Q9NPJ6,P36542,1
Q13033,Q9NRR6,0
Q14671,Q14444,1
O43809,Q9GZT8,1
P62341,P82932,0
Q8H185,Q8GXE2,1
O75665,Q2TAC2,1
Q9BV40,P07858,0
O76094,Q99728,0
P55735,Q96TC7,0
O24629,O64816,1
P35251,Q68CZ6,0
O04310,Q8VZU2,1
Q9Y5U9,P07900,0
P51636,Q69YU3,0
P02545,Q9Y6H1,1
P24539,Q9UII2,1
Q9ULH1,Q9NYG5,0
Q9SJN0,Q9C5Q9,1
Q9H000,Q12986,1
Q13526,Q15029,1
O94805,Q6ZRQ5,0
Q6PGQ7,Q86TW2,0
Q15051,Q9BT78,0
Q9NS91,Q9UDY2,0
Q14318,Q9NRG9,1
Q92974,Q9HAU0,1
Q9C0C7,Q9P2A4,0
P79522,Q14671,1
Q96RN5,P40926,0
P94077,Q38831,1
Q8N488,Q9BQG0,1
P30622,P31948,0
Q8N998,O00257,0
Q9BQ67,P25205,0
O60671,Q9NX58,0
Q9GZS3,P50402,0
P16403,O60664,0
Q9HA65,Q9NWB7,0
Q9NRI5,O75934,1
Q9SRX7,P41127,1
P18848,Q15013,0
P54105,Q53H47,0
Q9Y2V7,Q9HAD4,0
P52815,Q16531,0
Q8IWY9,Q5JVS0,0
Q99661,Q96EU6,1
Q9H3H1,O95994,0
P30086,Q14151,0
Q13131,Q8N122,1
P38606,P09874,0
P32971,Q8N122,1
Q96EA4,Q13618,0
Q8TAD8,P14678,1
Q8N6T3,Q05193,0
Q99683,P14866,0
Q9NTM9,Q9UBS3,0
P42772,Q08170,0
P78344,O00161,0
Q4G0J3,Q9H7D7,0
Q9NPJ6,Q9NVX0,1
P12236,O00762,0
Q42134,Q8RWF0,1
Q9FKQ6,Q9SWG3,1
Q9NSC5,Q9NRA8,0
Q8IVW4,Q8N122,0
Q00987,P20936,0
Q02241,O15530,0
Q9LVI6,Q94F62,1
Q96KS9,Q96CS2,1
Q9P0J0,Q9H8V3,0
Q13501,O43482,0
Q99608,O96013,0
Q9NVF7,Q9UPT5,1
Q9P0T7,Q86X76,0
Q42588,P34791,1
Q99570,Q13191,0
O95817,O75665,0
Q9NP66,O43482,1
Q13501,Q9H425,1
Q3E7T8,Q9FPS0,1
Q92734,Q96EP0,0
Q9NW82,Q8IY63,1
Q9C5K8,Q93ZM9,1
Q9NS87,Q8TEW0,0
P42695,P11362,1
Q39021,Q84TE9,1
Q94BP0,Q6X7J4,1
Q8TAQ2,Q5MIZ7,0
Q13163,P08581,1
Q9UPT5,Q9GZM7,0
Q84N34,Q2V3H2,1
Q9LRJ9,O22049,1
Q96BR1,Q14566,1
Q8L4B2,Q9SLG0,1
Q13574,Q99496,0
Q9GZS1,Q9UJC3,0
P20962,Q92598,0
Q9LXG1,P16181,1
Q9H1J1,Q96GD4,0
Q5JR59,Q9H0W8,1
Q9UBP0,Q8TF76,0
P46779,P67775,0
Q9UL15,Q15637,1
Q9FVU9,Q39090,1
Q8NCG7,Q86YV5,0
Q8S3F1,Q84JG2,1
Q6GVN4,P24666,0
P43405,P23246,0
O15482,Q14849,0
Q9NUQ8,O00444,0
Q9Y6M1,Q68CZ6,0
P78344,Q14152,1
Q8N684,Q9UNE7,0
O94874,P14678,1
P49736,Q9UDW3,0
Q9M310,Q9M1X5,1
Q86UY6,P50570,1
Q13137,O75925,0
Q86UK5,Q9NRC1,1
O75528,O75934,1
Q9LMA8,Q9SV55,1
Q66GS9,Q68CZ1,1
Q9NRD5,P31751,1
Q15382,P51957,0
Q96S44,Q9UBN7,0
Q9H267,P50542,1
Q9HCU9,P09211,0
Q75LP0,O43927,0
Q5JR59,P49796,0
O94874,P28288,1
P14866,P30084,0
P51957,Q9NS87,1
O80786,F4KAB8,1
Q96GG9,O94906,0
P58215,P17540,0
Q08495,Q96JB3,0
Q00987,Q6WCQ1,0
Q12905,P51784,0
P14866,Q9H0A0,1
Q13151,Q9UM11,0
Q42404,Q9LY75,1
O23661,Q84JG2,1
Q39024,Q94FT2,1
O43390,Q9UBB6,0
Q96JN2,Q3B820,1
Q8GZM7,Q8S307,1
Q6I9S2,O15527,0
P15927,Q9UI14,0
P11597,P56282,0
Q8RWF0,P30186,1
Q9BZF3,Q9NUQ6,0
P22392,Q15345,0
Q9ZU90,Q39255,1
Q9Y333,Q9Y483,0
Q9UER7,Q9BT78,0
Q9FKW2,P93007,1
Q9BXW9,P56945,0
Q8WUA4,Q96JK2,0
P12956,P49321,1
Q16543,Q9BWF3,0
Q12986,P52732,0
Q9SMP0,Q9LVJ7,1
Q06945,O00231,0
Q15645,Q9HC62,0
Q9SWH4,O65359,1
Q9SJ29,Q84WW6,1
Q96G25,P53803,1
Q86TW2,O95696,0
Q5JSH3,P06753,0
Q96QZ7,P36543,0
F4KDH9,Q9M9G6,1
Q9SRX7,Q9SMT4,1
Q02241,Q9Y5K6,1
Q9NRD5,O75665,0
Q9UER7,Q9BYV6,0
F4K5X6,Q944A6,1
Q38847,Q94AG2,1
Q13137,Q9HCM9,0
Q9BXR0,O43526,0
Q15631,Q9Y5S9,1
Q96E11,P51957,0
Q9H0W8,Q9Y5K6,0
Q8RXU5,Q1EC66,1
Q9NVX0,P49257,0
Q15714,O95219,0
Q13838,P29350,0
P04629,Q3KP44,0
Q9BWH6,Q7L590,1
Q9STW6,P42643,1
Q9LZF6,Q8L7B5,1
Q96EP5,Q13526,1
Q08379,P11166,0
P08621,P02545,0
O60674,Q00653,1
Q8TB24,P40937,0
Q9SQI2,O82804,1
Q8NA72,O14641,0
P24539,P62304,0
Q9UKG1,Q93034,0
Q86VM9,Q8WV16,0
Q96JB3,O00757,0
O43542,P31948,1
Q9SJH7,Q9LPV8,1
Q9BRS2,Q9BQA1,1
P49678,O24410,1
P36957,Q15393,0
P40939,P14866,0
Q8TBK6,Q99615,0
Q92597,Q9Y3M2,0
Q5JSH3,Q9NQP4,0
Q8WY36,O43586,0
P09326,O60925,0
Q969X5,O75787,1
P35240,Q9UL15,0
Q93034,Q13418,1
Q4G0J3,Q9BVK6,0
O04450,Q9ZPH2,1
Q14152,Q8WXW3,0
Q9BXB5,Q96AJ1,0
Q502X0,Q9H8T0,0
Q13084,A0JLT2,0
Q86YJ6,Q9NX95,0
Q9BXG8,Q7Z3B4,0
Q9Y5X3,Q99547,0
Q96CA5,P12956,0
P40938,P60900,0
P46937,Q8IY63,1
P42331,P22314,1
O60493,P49441,0
Q9LZ57,Q8VYF1,1
P42773,P11021,0
Q92481,Q96EY7,0
P47897,P51784,0
Q9M0U9,Q94AH6,1
Q86TW2,O43657,0
P92937,O81445,1
P14866,Q13322,1
Q6FI97,Q08117,0
Q8LPR5,Q9SKD0,1
Q92870,Q92667,1
O00151,Q6N063,0
Q9Y5Q9,Q9NRI5,1
P49757,P08621,0
Q8L9S0,C0LGL9,1
P06576,Q9Y3M2,0
Q8LDC8,Q8L765,1
Q8N465,Q9BTW9,1
Q5T8D3,Q0P5N6,0
P52272,Q15170,0
Q9Y294,O95989,0
Q53RE8,Q8TBC4,1
Q9UJY1,P50402,1
Q86WT6,Q8N205,1
Q76MU0,Q5MNZ9,0
Q9LDI3,Q8LEM7,1
Q8NFZ5,Q86W42,0
O94762,Q13424,0
P39687,P23434,0
P32970,P46734,1
P23528,P07108,0
P57740,O75665,0
Q08379,Q6P4A2,0
